title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
In re Minor 0355,India,Telangana,2020,JJ Board Hyderabad,shoplifting,15-17,Minor stole snacks from a local shop; apprehended by security. No prior delinquency history.,shoplifting matter involving 15-17 juvenile in Telangana.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re Minor 0377,India,Telangana,2024,JJ Board Hyderabad,runaway,15-17,16-year-old left home and found at a public park. Alleged neglect at home. First offense.,runaway matter involving 15-17 juvenile in Telangana.,Community service; probation.,https://services.ecourts.gov.in/
In re J.D.-0016,United States,Illinois,2021,Cook County Juvenile Court,theft,under 14,Theft reported: 14-year-old took a mobile phone belonging to another at a public park. No prior record.,Juvenile theft case with no prior record in Illinois.,Probation 6 months; counseling.,https://www.courtlistener.com/
Matter of Youth-0280,United States,Georgia,2020,Fulton County Juvenile Court,assault,15-17,School altercation: 16-year-old struck another student at a neighbor's garage. No prior delinquency history.,assault matter involving 15-17 juvenile in Georgia.,Probation 12 months; community service.,https://www.courtlistener.com/
In re C-0904 (Child),United Kingdom,Wales,2024,Youth Court Cardiff,runaway,15-17,17-year-old left home and found at a retail store. Alleged neglect at home. One prior warning only.,runaway incident at retail store; minor in 15-17 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re Child 0353,India,Odisha,2023,JJ Board Bhubaneswar,runaway,under 14,13-year-old left home and found at a neighbor's garage. Reunification assessment ordered. One prior warning only.,runaway matter involving under 14 juvenile in Odisha.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
R v. Y-0721 (Youth),United Kingdom,Scotland,2024,Sheriff Court Glasgow,arson,under 14,14-year-old set fire to lockers at a community center. Minimal damage. First contact with juvenile court.,arson incident at community center; minor in under 14 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re C-0738 (Child),United Kingdom,England,2019,Youth Court Bristol,drug possession,15-17,15-year-old found with alcohol at a neighbor's garage. One prior warning only.,drug possession matter involving 15-17 juvenile in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re Child 0524,India,Telangana,2023,JJ Board Hyderabad,curfew violation,15-17,16-year-old found in public at school after curfew. One prior warning only.,curfew violation matter involving 15-17 juvenile in Telangana.,Community service; probation.,https://services.ecourts.gov.in/
In re C-0678 (Child),United Kingdom,Scotland,2024,Sheriff Court Edinburgh,runaway,15-17,Runaway minor located after three days; Reunification assessment ordered. No prior delinquency history.,runaway matter involving 15-17 juvenile in Scotland.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0386),India,Haryana,2022,JJ Board Gurugram,runaway,under 14,Runaway minor located after seven days; Family conflict reported. No prior record.,runaway matter involving under 14 juvenile in Haryana.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
X v. State (JJ-0456),India,Punjab,2020,JJ Board Chandigarh,drug possession,15-17,Minor discovered carrying marijuana during a community center search. First contact with juvenile court.,Juvenile drug possession case with no prior record in Punjab.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
R v. Y-0624 (Youth),United Kingdom,England,2019,Youth Court London,cybercrime,15-17,16-year-old created fake social media accounts at a recreation center. No financial gain. No prior record.,cybercrime incident at recreation center; minor in 15-17 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0014,United States,Illinois,2021,Cook County Juvenile Court,curfew violation,15-17,16-year-old found in public at a recreation center after curfew. No prior delinquency history.,curfew violation incident at recreation center; minor in 15-17 age group.,Probation 6 months; counseling.,https://www.courtlistener.com/
R v. Minor 0895,United Kingdom,England,2021,Youth Court London,theft,15-17,16-year-old stole a bicycle from school. One prior warning only.,theft matter involving 15-17 juvenile in England.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0875,United Kingdom,England,2018,Youth Court London,trespass,under 14,Unauthorized entry to a recreation center by 13-year-old. First contact with juvenile court.,Juvenile trespass case with no prior record in England.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re C-0729 (Child),United Kingdom,Wales,2023,Youth Court Cardiff,weapon possession,15-17,15-year-old found with a BB gun at a local shop. Not used. One prior warning only.,weapon possession matter involving 15-17 juvenile in Wales.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0839 (Youth),United Kingdom,England,2019,Youth Court Leeds,trespass,15-17,Unauthorized entry to a community center by 16-year-old. First contact with juvenile court.,Juvenile trespass case with no prior record in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0361,India,Tamil Nadu,2019,JJ Board Chennai,shoplifting,under 14,Minor stole snacks from a public park; apprehended by security. No prior delinquency history.,shoplifting matter involving under 14 juvenile in Tamil Nadu.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re J.D.-0271,United States,Massachusetts,2019,Suffolk Juvenile Court,assault,under 14,School altercation: 13-year-old struck another student at a recreation center. First offense.,Juvenile assault case with no prior record in Massachusetts.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re C-0660 (Child),United Kingdom,Northern Ireland,2023,Youth Court Belfast,theft,under 14,Theft reported: 13-year-old took a mobile phone belonging to another at a neighbor's garage. No prior record.,Juvenile theft case with no prior record in Northern Ireland.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0197,United States,Georgia,2024,Fulton County Juvenile Court,arson,15-17,Fire incident at a neighbor's garage; 15-year-old admitted involvement. No prior record.,Juvenile arson case with no prior record in Georgia.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re Child 0516,India,Rajasthan,2022,JJ Board Jaipur,runaway,15-17,16-year-old left home and found at a transit station. Reunification assessment ordered. No prior delinquency history.,Juvenile runaway case with no prior record in Rajasthan.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
Matter of Youth-0079,United States,Colorado,2024,Denver Juvenile Court,vandalism,under 14,13-year-old damaged playground equipment at a retail store. No prior record.,vandalism incident at retail store; minor in under 14 age group.,Probation 6 months; counseling.,https://www.courtlistener.com/
R v. Y-0747 (Youth),United Kingdom,Wales,2019,Youth Court Swansea,vandalism,under 14,Minor spray-painted a bus shelter; identified via surveillance at a public park. No prior delinquency history.,Juvenile vandalism case with no prior record in Wales.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re Child 0521,India,Delhi,2023,JJ Board Delhi,truancy,15-17,16-year-old chronically absent from a public park; 22 unexcused days. First offense.,truancy incident at public park; minor in 15-17 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re C-0648 (Child),United Kingdom,Wales,2020,Youth Court Cardiff,vandalism,15-17,Minor spray-painted playground equipment; identified via surveillance at school. One prior warning only.,vandalism incident at school; minor in 15-17 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0218,United States,Georgia,2021,Fulton County Juvenile Court,curfew violation,15-17,16-year-old found in public at a neighbor's garage after curfew. First contact with juvenile court.,Juvenile curfew violation case with no prior record in Georgia.,House arrest 30 days; probation.,https://www.courtlistener.com/
R v. Y-0656 (Youth),United Kingdom,Northern Ireland,2022,Youth Court Belfast,harassment,under 14,13-year-old sent repeated threatening messages to peer via Instagram. First offense.,Juvenile harassment case with no prior record in Northern Ireland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0092,United States,New York,2018,Kings County Family Court,arson,15-17,Fire incident at a public park; 16-year-old admitted involvement. First offense.,arson incident at public park; minor in 15-17 age group.,House arrest 30 days; probation.,https://www.courtlistener.com/
X v. State (JJ-0559),India,Rajasthan,2020,JJ Board Jaipur,vandalism,15-17,17-year-old damaged a bench at a neighbor's garage. One prior warning only.,vandalism matter involving 15-17 juvenile in Rajasthan.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re C-0763 (Child),United Kingdom,Scotland,2023,Sheriff Court Glasgow,arson,under 14,Fire incident at a recreation center; 14-year-old admitted involvement. No prior record.,arson incident at recreation center; minor in under 14 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0425),India,Rajasthan,2018,JJ Board Jaipur,shoplifting,15-17,Minor stole a mobile phone from a neighbor's garage; apprehended by security. No prior delinquency history.,shoplifting matter involving 15-17 juvenile in Rajasthan.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re C-0683 (Child),United Kingdom,England,2020,Youth Court Birmingham,vandalism,15-17,Minor spray-painted restroom fixtures; identified via surveillance at a recreation center. First contact with juvenile court.,vandalism matter involving 15-17 juvenile in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re C-0851 (Child),United Kingdom,England,2021,Youth Court Birmingham,vandalism,15-17,15-year-old damaged a bench at a retail store. One prior warning only.,vandalism matter involving 15-17 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0248,United States,Illinois,2019,Cook County Juvenile Court,curfew violation,15-17,17-year-old found in public at a community center after curfew. One prior warning only.,curfew violation matter involving 15-17 juvenile in Illinois.,House arrest 30 days; probation.,https://www.courtlistener.com/
State v. Minor-0278,United States,Washington,2024,King County Juvenile Court,arson,15-17,Fire incident at school; 16-year-old admitted involvement. No prior delinquency history.,arson matter involving 15-17 juvenile in Washington.,Youth education program; supervised release.,https://www.courtlistener.com/
X v. State (JJ-0481),India,West Bengal,2021,JJ Board Kolkata,trespass,under 14,Unauthorized entry to a recreation center by 13-year-old. First offense.,trespass matter involving under 14 juvenile in West Bengal.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
X v. State (JJ-0464),India,Gujarat,2019,JJ Board Ahmedabad,burglary,under 14,Break-in at school; 14-year-old suspect identified. No prior record.,burglary incident at school; minor in under 14 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
X v. State (JJ-0305),India,West Bengal,2019,JJ Board Kolkata,robbery,under 14,Strong-arm robbery allegation: 14-year-old and a community center. No prior record.,robbery incident at community center; minor in under 14 age group.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
Matter of Youth-0150,United States,New York,2019,Kings County Family Court,arson,under 14,Fire incident at a neighbor's garage; 14-year-old admitted involvement. No prior delinquency history.,arson incident at neighbor's garage; minor in under 14 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
In re Child 0322,India,Kerala,2023,JJ Board Kochi,robbery,15-17,Strong-arm robbery allegation: 15-year-old and a retail store. First offense.,robbery incident at retail store; minor in 15-17 age group.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re J.D.-0212,United States,California,2020,Los Angeles Juvenile Court,robbery,under 14,Strong-arm robbery allegation: 14-year-old and a neighbor's garage. No prior record.,Juvenile robbery case with no prior record in California.,Restitution; informal probation.,https://www.courtlistener.com/
In re C-0817 (Child),United Kingdom,England,2020,Youth Court Leeds,theft,15-17,15-year-old stole snacks from a public park. First offense.,Juvenile theft case with no prior record in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0565),India,Uttar Pradesh,2020,JJ Board Lucknow,vandalism,under 14,13-year-old damaged restroom fixtures at a local shop. No prior record.,vandalism incident at local shop; minor in under 14 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re Minor 0514,India,Uttar Pradesh,2023,JJ Board Lucknow,weapon possession,15-17,15-year-old found with a metal pipe at a recreation center. Not used. No prior delinquency history.,Juvenile weapon possession case with no prior record in Uttar Pradesh.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re C-0694 (Child),United Kingdom,Wales,2021,Youth Court Swansea,weapon possession,15-17,Security search at a community center revealed a BB gun in 15-year-old's bag. First contact with juvenile court.,weapon possession matter involving 15-17 juvenile in Wales.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0184,United States,Virginia,2020,Fairfax Juvenile Court,vandalism,under 14,14-year-old damaged a bus shelter at a retail store. No prior delinquency history.,vandalism incident at retail store; minor in under 14 age group.,Restitution; informal probation.,https://www.courtlistener.com/
Matter of Youth-0055,United States,Massachusetts,2022,Suffolk Juvenile Court,harassment,under 14,13-year-old sent repeated threatening messages to peer via Instagram. No prior record.,harassment matter involving under 14 juvenile in Massachusetts.,Probation 12 months; community service.,https://www.courtlistener.com/
In re C-0863 (Child),United Kingdom,Wales,2018,Youth Court Swansea,theft,15-17,Theft reported: 17-year-old took snacks belonging to another at a transit station. No prior record.,theft matter involving 15-17 juvenile in Wales.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re C-0761 (Child),United Kingdom,England,2018,Youth Court London,shoplifting,15-17,Minor stole snacks from a neighbor's garage; apprehended by security. One prior warning only.,shoplifting incident at neighbor's garage; minor in 15-17 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0189,United States,Virginia,2019,Fairfax Juvenile Court,arson,under 14,Fire incident at a public park; 13-year-old admitted involvement. No prior record.,arson incident at public park; minor in under 14 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re J.D.-0190,United States,North Carolina,2019,Mecklenburg Juvenile Court,shoplifting,15-17,Minor stole snacks from school; apprehended by security. No prior record.,shoplifting incident at school; minor in 15-17 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
R v. Minor 0637,United Kingdom,Northern Ireland,2019,Youth Court Belfast,weapon possession,15-17,16-year-old found with pepper spray at school. Not used. No prior record.,weapon possession incident at school; minor in 15-17 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0744 (Youth),United Kingdom,England,2024,Youth Court Bristol,robbery,15-17,16-year-old took a bicycle from peer at a local shop using implied force. First offense.,robbery incident at local shop; minor in 15-17 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0385,India,Bihar,2024,JJ Board Patna,burglary,15-17,17-year-old entered a neighbor's garage without permission and took electronics. One prior warning only.,burglary matter involving 15-17 juvenile in Bihar.,Community service; probation.,https://services.ecourts.gov.in/
Matter of Youth-0185,United States,Georgia,2024,Fulton County Juvenile Court,vandalism,under 14,13-year-old damaged a bench at a retail store. First contact with juvenile court.,vandalism matter involving under 14 juvenile in Georgia.,Probation 6 months; counseling.,https://www.courtlistener.com/
R v. Minor 0840,United Kingdom,England,2023,Youth Court Manchester,weapon possession,15-17,Security search at a neighbor's garage revealed a pocketknife in 15-year-old's bag. No prior record.,Juvenile weapon possession case with no prior record in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0896 (Youth),United Kingdom,Wales,2021,Youth Court Cardiff,theft,under 14,14-year-old stole a bicycle from a neighbor's garage. One prior warning only.,theft matter involving under 14 juvenile in Wales.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0180,United States,Florida,2021,Miami-Dade Juvenile Court,robbery,under 14,Strong-arm robbery allegation: 14-year-old and school. First offense.,Juvenile robbery case with no prior record in Florida.,Youth education program; supervised release.,https://www.courtlistener.com/
Matter of Youth-0050,United States,Florida,2022,Miami-Dade Juvenile Court,truancy,under 14,Habitual truancy petition for 13-year-old failing to attend a neighbor's garage. First offense.,Juvenile truancy case with no prior record in Florida.,House arrest 30 days; probation.,https://www.courtlistener.com/
In re J.D.-0152,United States,Florida,2022,Miami-Dade Juvenile Court,runaway,15-17,17-year-old left home and found at a recreation center. Family conflict reported. No prior record.,runaway incident at recreation center; minor in 15-17 age group.,House arrest 30 days; probation.,https://www.courtlistener.com/
State v. Minor-0005,United States,New York,2023,Kings County Family Court,arson,15-17,17-year-old set fire to lockers at a neighbor's garage. Minimal damage. First offense.,arson incident at neighbor's garage; minor in 15-17 age group.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re Minor 0497,India,Rajasthan,2018,JJ Board Jaipur,robbery,15-17,Strong-arm robbery allegation: 17-year-old and a neighbor's garage. First offense.,robbery matter involving 15-17 juvenile in Rajasthan.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re Child 0580,India,Rajasthan,2021,JJ Board Jaipur,trespass,15-17,Unauthorized entry to school by 16-year-old. No prior record.,Juvenile trespass case with no prior record in Rajasthan.,Community service; probation.,https://services.ecourts.gov.in/
R v. Y-0885 (Youth),United Kingdom,Northern Ireland,2022,Youth Court Belfast,weapon possession,15-17,Security search at a local shop revealed pepper spray in 16-year-old's bag. No prior record.,weapon possession incident at local shop; minor in 15-17 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0153,United States,Virginia,2020,Fairfax Juvenile Court,vandalism,under 14,Minor spray-painted a classroom window; identified via surveillance at school. No prior record.,vandalism matter involving under 14 juvenile in Virginia.,Restitution; informal probation.,https://www.courtlistener.com/
In re Minor 0364,India,Karnataka,2024,JJ Board Bengaluru,cybercrime,15-17,15-year-old shared private photos online at a retail store. No financial gain. First offense.,cybercrime incident at retail store; minor in 15-17 age group.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re Minor 0323,India,Kerala,2020,JJ Board Kochi,trespass,under 14,14-year-old entered restricted a public park after hours. No prior record.,Juvenile trespass case with no prior record in Kerala.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
X v. State (JJ-0321),India,Maharashtra,2019,Juvenile Justice Board Mumbai,trespass,under 14,Unauthorized entry to a recreation center by 13-year-old. One prior warning only.,Juvenile trespass case with limited history in Maharashtra.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
X v. State (JJ-0307),India,Rajasthan,2019,JJ Board Jaipur,assault,15-17,School altercation: 16-year-old struck another student at a recreation center. First contact with juvenile court.,assault matter involving 15-17 juvenile in Rajasthan.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
X v. State (JJ-0581),India,Delhi,2020,JJ Board Delhi,vandalism,15-17,15-year-old damaged a bus shelter at a recreation center. First contact with juvenile court.,Juvenile vandalism case with no prior record in Delhi.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re Minor 0408,India,Kerala,2018,JJ Board Kochi,cybercrime,under 14,Juvenile circulated exam answers digitally using personal device. Victim notified school. No prior record.,cybercrime incident at retail store; minor in under 14 age group.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re Minor 0566,India,West Bengal,2024,JJ Board Kolkata,truancy,15-17,15-year-old chronically absent from a recreation center; 40 unexcused days. No prior delinquency history.,truancy matter involving 15-17 juvenile in West Bengal.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
Matter of Youth-0254,United States,Ohio,2018,Cuyahoga County Juvenile Court,runaway,15-17,Runaway minor located after seven days; Family conflict reported. First offense.,Juvenile runaway case with no prior record in Ohio.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re C-0891 (Child),United Kingdom,Wales,2019,Youth Court Swansea,harassment,15-17,16-year-old sent repeated threatening messages to peer via WhatsApp. First offense.,harassment incident at school; minor in 15-17 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re C-0675 (Child),United Kingdom,Wales,2023,Youth Court Cardiff,arson,under 14,Fire incident at a recreation center; 13-year-old admitted involvement. No prior delinquency history.,arson incident at recreation center; minor in under 14 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0161,United States,Florida,2020,Miami-Dade Juvenile Court,harassment,15-17,15-year-old sent repeated threatening messages to peer via text messages. No prior record.,harassment incident at public park; minor in 15-17 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
State v. Minor-0261,United States,North Carolina,2024,Mecklenburg Juvenile Court,cybercrime,15-17,Juvenile shared private photos online using personal device. Victim notified school. No prior record.,cybercrime matter involving 15-17 juvenile in North Carolina.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
State v. Minor-0175,United States,Colorado,2020,Denver Juvenile Court,trespass,15-17,16-year-old entered restricted a public park after hours. One prior warning only.,trespass matter involving 15-17 juvenile in Colorado.,House arrest 30 days; probation.,https://www.courtlistener.com/
R v. Y-0811 (Youth),United Kingdom,England,2022,Youth Court Birmingham,arson,under 14,14-year-old set fire to lockers at a public park. Minimal damage. No prior delinquency history.,arson matter involving under 14 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0203,United States,Illinois,2021,Cook County Juvenile Court,cybercrime,under 14,Juvenile circulated exam answers digitally using personal device. Victim notified school. First contact with juvenile court.,cybercrime incident at school; minor in under 14 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re Child 0600,India,Telangana,2018,JJ Board Hyderabad,burglary,15-17,Break-in at school; 16-year-old suspect identified. First offense.,Juvenile burglary case with no prior record in Telangana.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
Matter of Youth-0283,United States,Pennsylvania,2018,Philadelphia Family Court,shoplifting,15-17,Minor stole a mobile phone from school; apprehended by security. One prior warning only.,shoplifting incident at school; minor in 15-17 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
Matter of Youth-0024,United States,New York,2021,Kings County Family Court,runaway,under 14,Runaway minor located after seven days; Reunification assessment ordered. No prior delinquency history.,Juvenile runaway case with no prior record in New York.,Probation 6 months; counseling.,https://www.courtlistener.com/
Matter of Youth-0026,United States,Washington,2021,King County Juvenile Court,trespass,under 14,Unauthorized entry to a community center by 13-year-old. One prior warning only.,trespass matter involving under 14 juvenile in Washington.,Probation 6 months; counseling.,https://www.courtlistener.com/
Matter of Youth-0249,United States,Arizona,2018,Maricopa County Juvenile Court,robbery,15-17,Strong-arm robbery allegation: 16-year-old and a retail store. One prior warning only.,robbery matter involving 15-17 juvenile in Arizona.,Anger management; probation 9 months.,https://www.courtlistener.com/
Matter of Youth-0073,United States,Colorado,2023,Denver Juvenile Court,drug possession,under 14,13-year-old found with vape cartridges at school. First contact with juvenile court.,drug possession matter involving under 14 juvenile in Colorado.,Restitution; informal probation.,https://www.courtlistener.com/
In re Minor 0504,India,Odisha,2022,JJ Board Bhubaneswar,curfew violation,15-17,Repeated curfew violations by 16-year-old in a recreation center. First offense.,curfew violation matter involving 15-17 juvenile in Odisha.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re C-0655 (Child),United Kingdom,Scotland,2024,Sheriff Court Edinburgh,trespass,under 14,Unauthorized entry to a neighbor's garage by 14-year-old. No prior record.,Juvenile trespass case with no prior record in Scotland.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re C-0786 (Child),United Kingdom,Northern Ireland,2022,Youth Court Belfast,curfew violation,15-17,16-year-old found in public at a retail store after curfew. One prior warning only.,curfew violation incident at retail store; minor in 15-17 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re C-0619 (Child),United Kingdom,England,2021,Youth Court Manchester,runaway,under 14,14-year-old left home and found at a retail store. Family conflict reported. No prior record.,Juvenile runaway case with no prior record in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0413),India,Uttar Pradesh,2021,JJ Board Lucknow,curfew violation,15-17,Repeated curfew violations by 17-year-old in a local shop. First contact with juvenile court.,curfew violation incident at local shop; minor in 15-17 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re Child 0330,India,Rajasthan,2018,JJ Board Jaipur,cybercrime,15-17,Juvenile accessed school network without authorization using personal device. Victim notified school. One prior warning only.,cybercrime incident at transit station; minor in 15-17 age group.,Community service; probation.,https://services.ecourts.gov.in/
State v. Minor-0288,United States,Arizona,2022,Maricopa County Juvenile Court,vandalism,15-17,17-year-old damaged playground equipment at a community center. First contact with juvenile court.,Juvenile vandalism case with no prior record in Arizona.,Restitution; informal probation.,https://www.courtlistener.com/
In re C-0707 (Child),United Kingdom,Wales,2022,Youth Court Swansea,arson,15-17,15-year-old set fire to restroom fixtures at a public park. Minimal damage. First contact with juvenile court.,arson matter involving 15-17 juvenile in Wales.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0420),India,Rajasthan,2018,JJ Board Jaipur,drug possession,15-17,17-year-old found with marijuana at a transit station. No prior record.,drug possession incident at transit station; minor in 15-17 age group.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
Matter of Youth-0263,United States,Ohio,2021,Cuyahoga County Juvenile Court,trespass,15-17,16-year-old entered restricted a retail store after hours. No prior record.,trespass matter involving 15-17 juvenile in Ohio.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re Minor 0444,India,Rajasthan,2023,JJ Board Jaipur,shoplifting,under 14,14-year-old apprehended shoplifting school supplies from school. No prior record.,shoplifting matter involving under 14 juvenile in Rajasthan.,Community service; probation.,https://services.ecourts.gov.in/
In re J.D.-0117,United States,Florida,2023,Miami-Dade Juvenile Court,burglary,15-17,17-year-old entered a community center without permission and took school supplies. First offense.,Juvenile burglary case with no prior record in Florida.,House arrest 30 days; probation.,https://www.courtlistener.com/
R v. Minor 0695,United Kingdom,England,2019,Youth Court Leeds,curfew violation,under 14,Repeated curfew violations by 14-year-old in a transit station. No prior delinquency history.,curfew violation incident at transit station; minor in under 14 age group.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0846,United Kingdom,Northern Ireland,2024,Youth Court Belfast,runaway,15-17,15-year-old left home and found at a community center. Reunification assessment ordered. One prior warning only.,Juvenile runaway case with limited history in Northern Ireland.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0004,United States,Georgia,2020,Fulton County Juvenile Court,cybercrime,under 14,13-year-old installed unauthorized software on school laptops at a recreation center. No financial gain. No prior record.,Juvenile cybercrime case with no prior record in Georgia.,House arrest 30 days; probation.,https://www.courtlistener.com/
State v. Minor-0138,United States,Virginia,2023,Fairfax Juvenile Court,trespass,15-17,Unauthorized entry to school by 15-year-old. One prior warning only.,trespass incident at school; minor in 15-17 age group.,Youth education program; supervised release.,https://www.courtlistener.com/
State v. Minor-0272,United States,Texas,2023,Harris County Juvenile Court,runaway,under 14,Runaway minor located after two days; Child referred by school counselor. First contact with juvenile court.,runaway incident at community center; minor in under 14 age group.,House arrest 30 days; probation.,https://www.courtlistener.com/
State v. Minor-0087,United States,Virginia,2022,Fairfax Juvenile Court,runaway,15-17,16-year-old left home and found at a recreation center. Reunification assessment ordered. No prior record.,runaway incident at recreation center; minor in 15-17 age group.,Restitution; informal probation.,https://www.courtlistener.com/
Matter of Youth-0098,United States,Georgia,2019,Fulton County Juvenile Court,harassment,15-17,15-year-old sent repeated threatening messages to peer via Snapchat. First contact with juvenile court.,Juvenile harassment case with no prior record in Georgia.,Restitution; informal probation.,https://www.courtlistener.com/
Matter of Youth-0221,United States,Ohio,2020,Cuyahoga County Juvenile Court,robbery,15-17,Strong-arm robbery allegation: 15-year-old and a transit station. No prior delinquency history.,Juvenile robbery case with no prior record in Ohio.,House arrest 30 days; probation.,https://www.courtlistener.com/
In re Child 0304,India,Bihar,2018,JJ Board Patna,drug possession,under 14,14-year-old found with marijuana at a recreation center. One prior warning only.,drug possession matter involving under 14 juvenile in Bihar.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
State v. Minor-0151,United States,Washington,2021,King County Juvenile Court,arson,15-17,15-year-old set fire to a bus shelter at a neighbor's garage. Minimal damage. First contact with juvenile court.,Juvenile arson case with no prior record in Washington.,Probation 12 months; community service.,https://www.courtlistener.com/
In re J.D.-0019,United States,Colorado,2018,Denver Juvenile Court,runaway,15-17,16-year-old left home and found at school. Reunification assessment ordered. First offense.,Juvenile runaway case with no prior record in Colorado.,House arrest 30 days; probation.,https://www.courtlistener.com/
R v. Minor 0612,United Kingdom,Wales,2023,Youth Court Cardiff,assault,under 14,14-year-old involved in a local shop fight causing minor bruising to peer. No weapon.,Juvenile assault case with no prior record in Wales.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
